ลำดับที่,ชื่อย่านชุมชนเก่า,ตำบล,อำเภอ,จังหวัด,ภาค,East,North,ลักษณะสำคัญ
537,ชุมชนบ้านเมืองเตา,เมืองเตา,พยัคฆภูมิพิสัย,มหาสารคาม,ตะวันออกเฉียงเหนือ,326945.095,1715551.609,ชุมชนบ้านเมืองเตา เป็นชุมชนที่ตั้งอยู่บนสภาพภูมิประเทศที่เป็นที่ดอน มีคูเมืองขนาดใหญ่ล้อมรอบชั้นเดียว พื้นที่โดยรอบชุมชนเป็นพื้นที่เกษตรกรรม ได้แก่ นาข้าว เป็นชุมชนพักอาศัยแบบชนบท ประชากรในชุมชนประกอบอาชีพด้านเกษตรกรรมเป็นหลัก รองลงมาเป็นรับจ้าง ลักษณะสังคมภายในชุมชนยังคงเป็นไปในลักษณะของวิถีชีวิตและวัฒนธรรมแบบชนบท เป็นชุมชนที่มีความสำคัญทางด้านโบราณคดี เนื่องจากมีการขุดค้นพบโบราณวัตถุจำนวนมากในชุมชน เช่น เศษภาชนะดินเผา ลูกปัด พระเครื่องดินเผา และกำไล เป็นต้น ซึ่งเป็นสิ่งแสดงว่าบริเวณนี้เป็นที่ตั้งถิ่นฐานของคนในสมัยก่อนมาช้านานจากอดีตถึงปัจจุบัน
538,ชุมชนบ้านภู อ.หนองสูง,บ้านเป้า,หนองสูง,มุกดาหาร,ตะวันออกเฉียงเหนือ,428990.5079,1817746.608,ชุมชนบ้านภู อ.หนองสูง เป็นชุมชนชนบทที่มีนาข้าว ป่า และภูเขา ล้อมรอบพื้นที่ชุมชนทั้ง 3 ด้าน คือ ด้านทิศเหนือ ตะวันออก และตะวันตก ซึ่งเป็นแหล่งต้นน้ำและลำห้วยหลายสายไหลผ่านหมู่บ้าน ชุมชนพักอาศัยแบบชนบท ประชาชนในชุมชนส่วนใหญ่ประกอบอาชีพทางด้านการเกษตรเป็นหลัก ได้แก่ การทำนา รองลงมา คือ อาชีพรับจ้างและรับราชการ โดยในชุมชนมีการทำหัตถกรรมเครื่องจักสานเป็นอาชีพเสริม เพื่อเพิ่มรายได้ให้กับครอบครัว ลักษณะสังคมภายในชุมชนยังคงมีวิถีชีวิตแบบชนบทที่มีความเกี่ยวข้องกับอาชีพเกษตรกรรมและสิ่งศักดิ์สิทธิ์ในชุมชน เป็นชุมชนกลุ่มชาติพันธุ์ผู้ไทย ที่มีอัตลักษณ์โดดเด่นเรื่องวัฒนธรรม มีขนบธรรมเนียม ประเพณี และวิถีชีวิตแสดงถึงความเป็นผู้ไทที่โดดเด่น อาทิ การแต่งกายชุดผู้ไท ที่เป็นลักษณะเฉพาะของชาวผู้ไท มีภาษาพูดเป็นของตนเอง และเป็นชุมชนที่เกี่ยวกับความทรงจำทั้งในด้านการเมืองการปกครอง และการทหารในอดีต
539,ชุมชนบ้านหนองหล่ม อ.ดอนตาล,โพธิ์ไทร,ดอนตาล,มุกดาหาร,ตะวันออกเฉียงเหนือ,484831.9674,1813678.828,ชุมชนบ้านหนองหล่ม อ.ดอนตาล เป็นชุมชนชนบท ตั้งอยู่บนที่ราบริมแม่น้ำโขง ต่อมาได้มีการขยายตัวของชุมชนออกจากพื้นที่ริมแม่น้ำโขง อันเนื่องมาจากการพัฒนาเส้นทางการคมนาคมทางบก และปัญหาการกัดเซาะตลิ่งริมแม่น้ำโขง พื้นที่โดยรอบชุมชนเป็นพื้นที่เกษตรกรรม ชุมชนพักอาศัยแบบชนบท ประชาชนในชุมชนส่วนใหญ่ประกอบอาชีพทางด้านการเกษตรเป็นหลัก ได้แก่ การทำนา และอาชีพรับจ้าง ลักษณะสังคมภายในชุมชนยังคงมีวิถีชีวิตแบบชนบทที่มีความเกี่ยวข้องกับอาชีพเกษตรกรรม แม่น้ำโขง และสิ่งศักดิ์สิทธิ์ในชุมชน เป็นชุมชนกลุ่มชาติพันธุ์ผู้ไท ที่มีอัตลักษณ์โดดเด่นเรื่องวัฒนธรรม ขนบธรรมเนียม ประเพณี และวิถีชีวิตแสดงถึงความเป็นผู้ไทยที่โดดเด่น อาทิ การแต่งกายชุดผู้ไทย และภาษาพูด มีลักษณะอาคารภายในชุมชน เดิมเป็นอาคารไม้ 2 ชั้น ใต้ถุนโล่ง ที่มีเอกลักษณ์แบบเรือนผู้ไท
540,ชุมชนบ้านสองคอน อ.หว้านใหญ่,ป่งขาม,หว้านใหญ่,มุกดาหาร,ตะวันออกเฉียงเหนือ,471933.7486,1854799.673,ชุมชนบ้านสองคอน อ.หว้านใหญ่ เป็นชุมชนชนบทตั้งอยู่บนพื้นที่ราบ ทอดตัวยาวริมแม่น้ำโขง มีการเปลี่ยนแปลงกายภาพภายในชุมชนจากอดีตจนถึงปัจจุบันค่อนข้างน้อย พื้นที่โดยรอบชุมชนเป็นพื้นที่เกษตรกรรม ชุมชนพักอาศัยแบบชนบท ประชาชนส่วนใหญ่ประกอบอาชีพทางด้านการเกษตรเป็นหลัก ได้แก่ การทำนา และอาชีพรับจ้าง ลักษณะสังคมภายในชุมชนยังคงมีวิถีชีวิตแบบชนบท ชุมชนบ้านสองคอนประชาชนส่วนใหญ่นับถือศาสนาคริสต์ และที่มีความเกี่ยวข้องกับความเชื่อทางศาสนาอย่าเหนียวแน่น เกิดเป็นกิจกรรมทางทางศาสนาที่สำคัญของชุมชน เช่น กิจกรรมแห่ดาว เป็นต้น เป็นชุมชนเก่าริมแม่น้ำโขง ที่ประชาชนส่วนใหญ่มีความศรัทธาในศาสนาคริสต์ และเป็นที่ตั้งโบสถ์คริสต์นิกายโรมันคาธอลิก สร้างแบบสถาปัตยกรรมสมัยใหม่ ซึ่งใหญ่และมีความสวยงาม ได้รับรางวัลสถาปัตยกรรมดีเด่น สมาคมสถาปนิกสยาม ในพระบรมราชูปถัมภ์ ปี พ.ศ. 2539
541,ชุมชนบ้านสิงห์ท่า,ในเมือง,เมืองยโสธร,ยโสธร,ตะวันออกเฉียงเหนือ,407868.6844,1746050.356,ชุมชนบ้านสิงห์ท่า เป็นย่านพานิชยกรรมผสมกับย่านชุมชนพักอาศัย มีองค์ประกอบ เช่น ตลาด บ้าน วัด ศาลเจ้า เป็นย่านพาณิชยกรรมการค้าเก่าของชุมชนเมืองยโสธรเรื่อยมาตั้งแต่อดีต แต่ปัจจุบันได้ปรับเปลี่ยนบทบาทไปเนื่องจากมีการสร้างตลาดเทศบาลแห่งใหม่นอกพื้นที่ชุมชนและการคมนาคมขนส่งทางน้ำได้ลดบทบาทลงทำให้บทบาทของชุมชนกลับกลายเป็นชุมชนพักอาศัยเป็นส่วนมาก มีการจัดตั้งกลุ่มการผลิตของชุมชนคือ กลุ่มปลาส้ม ซึ่งมีชื่อเสียงเนื่องจากมีทรัพยากรเดิมที่ติดอยู่กับพื้นที่บุ่ง ทาม ของเมืองยโสธรที่มีปลาอุดมสมบูรณ์ มีรูปแบบสถาปัตยกรรมชิโน-โปรตุกีส เป็นอาคารก่ออิฐถือปูนบานประตูและหน้าต่างเป็นทรงโค้ง ปัจจุบันยังคงเหลือให้เห็นริมถนนศรีสุนทร นครปทุม อุทัยรามฤทธิ์ และถนนวิทยธำรง
542,ชุมชนบ้านตาดทอง,ตาดทอง,เมืองยโสธร,ยโสธร,ตะวันออกเฉียงเหนือ,410160.3605,1744919.087,"ชุมชนบ้านตาดทอง เป็นย่านชุมชนเก่าในพื้นที่ชนบทและเกษตรกรรม ซึ่งมีรูปแบบส่วนใหญ่เป็นที่พักอาศัยแบบครอบครัวเกษตรกรรม มีธาตุก่องข้าวน้อยตั้งอยู่เป็นองค์ประกอบที่สำคัญของชุมชน เป็นชุมชนกึ่งเมืองกึ่งชนบท ที่ระบบการผลิตยังขึ้นอยู่กับเกษตรกรรมเป็นหลัก และมีบทบาทด้านการท่องเที่ยวในบริเวณธาตุก่องข้าวน้อยที่ตั้งอยู่ภายนอกชุมชน มีระบบเศรษฐกิจหลักคือด้านเกษตรกรรม โดยมีบทบาทของการท่องเที่ยวโดยรอบธาตุเป็นส่วนรอง มีลักษณะเป็นเนินดินขนาดใหญ่สูงประมาณ 3 เมตร มีคูน้ำคันดินล้อมรอบ 1 ชั้น เป็นรูปวงรี วางตัวตามแนวทิศตะวันออกเฉียงเหนือ - ทิศตะวันตกเฉียงใต้ กว้างประมาณ 500 เมตร ยาวประมาณ 650 เมตร มีอายุประมาณ 2,500 ปีมาแล้ว เป็นชุมชนเกษตรกรรม พบหลักฐานการฝังศพแบบนอนหงาย เครื่องใช้ที่พบได้แก่เศษภาชนะดินเผาแบบมีลายเขียนสีที่ขอบปาก ซึ่งพบทั่วไปในบริเวณทุ่งกุลาร้องไห้ ชุมชนแห่งนี้มีการอยู่อาศัยต่อเนื่องมาโดยตลอดจนถึง สมัยทวาราวดี และขอม นับถือศาสนาพุทธ ได้พบใบเสมาเป็นจำนวนมาก ใบเสมาที่พบมีลักษณะต่างไปจากใบเสมาที่พบในชุมชนต้นและกลางแม่น้ำชี ศาสนสถานสำคัญของชุมชนคือ ธาตุก่องข้าวน้อย และพระธาตุบ้านสะเดา"
543,ชุมชนบ้านดอนกลาง (วัดพระธาตุเก่า),ค้อเหนือ,เมืองยโสธร,ยโสธร,ตะวันออกเฉียงเหนือ,401139.6842,1752259.444,ชุมชนบ้านดอนกลาง (วัดพระธาตุเก่า) เป็นย่านชุมชนเก่าในพื้นที่ชนบทและเกษตรกรรม ซึ่งมีรูปแบบส่วนใหญ่เป็นที่พักอาศัยแบบครอบครัวเกษตรกรรม มีพระธาตุคำบุเป็นพื้นที่ทางความเชื่อที่สำคัญของชุมชน เป็นชุมชนกึ่งเมืองกึ่งชนบท ที่ระบบการผลิตยังขึ้นอยู่กับเกษตรกรรมเป็นหลัก และมีบทบาทด้านการท่องเที่ยวในบริเวณสวนพระยาแถน มีการจัดตั้งกลุ่มการผลิตของชุมชนคือ กลุ่มหัตถกรรมถือผ้าไหม เสื่อ และฝ้าย มีรูปแบบของชุมชนโดยรอบพระธาตุที่มีความสำคัญในการปรับใช้องค์ประกอบทางความเชื่อของพื้นที่ เข้ากับความเชื่อของคนในวัฒนธรรมของล้านช้างที่เข้ามาตั้งถิ่นฐานซ้อนทับพื้นที่เมืองเดิม
544,ชุมชนบ้านนาสะไมย์,นาสะไมย์,เมืองยโสธร,ยโสธร,ตะวันออกเฉียงเหนือ,419058.211,1755880.2,ชุมชนบ้านนาสะไมย์ เป็นย่านชุมชนเก่าในพื้นที่ชนบทและเกษตรกรรม ซึ่งมีรูปแบบส่วนใหญ่เป็นที่พักอาศัยแบบครอบครัวเกษตรกรรม เป็นชุมชนกึ่งเมืองกึ่งชนบท ที่ระบบการผลิตยังขึ้นอยู่กับเกษตรกรรมเป็นหลัก และมีบทบาทด้านการท่องเที่ยวด้านงานช่างฝีมือทำเกวียนและจักรสานไม่ไผ่ มีการจัดตั้งกลุ่มการผลิตของชุมชนคือ กลุ่มงานช่างฝีมือทำเกวียนและจักรสานไม่ไผ่ มีรูปแบบของชุมชนเกษตรกรรมในพื้นที่ชนบท ซึ่งมีการถ่ายทอดทักษะทางอาชีพช่างทำเกวียน และจักรสานไม่ไผ่
545,ชุมชนบ้านสงเปือย (ดงเมืองเตย),สงเปือย,คำเขื่อนแก้ว,ยโสธร,ตะวันออกเฉียงเหนือ,419863.193,1730177.838,"ชุมชนบ้านสงเปือย (ดงเมืองเตย) เป็นย่านชุมชนเก่าในพื้นที่ชนบทและเกษตรกรรม ซึ่งมีรูปแบบส่วนใหญ่เป็นที่พักอาศัยแบบครอบครัวเกษตรกรรม โดยมีการตั้งถิ่นฐานโดยรอบพื้นที่โบราณสถานดงเมืองเตย เป็นชุมชนกึ่งเมืองกึ่งชนบท ที่ระบบการผลิตยังขึ้นอยู่กับเกษตรกรรมเป็นหลัก มีการจัดตั้งกลุ่มการผลิตของชุมชนคือ กลุ่มงานช่างฝีมือทำเกวียนและจักรสานไม่ไผ่ ดงเมืองเตยเป็นเมืองโบราณที่มีการตั้งถิ่นฐานของชุมชนมาตั้งแต่สมัยเจนละ-ทวารวดี โดยคาดว่าคงเป็นเมืองที่มีชื่อว่า ""ศังขะปุระ"" โดยมีความสำคัญในมิติของการรื้อและนำเมืองกลับมาใช้ใหม่จากวัฒนธรรมของคนที่แตกต่างกันจากล้านช้าง"
546,ชุมชนกู่จาน,กู่จาน,คำเขื่อนแก้ว,ยโสธร,ตะวันออกเฉียงเหนือ,433553.647,1733189.453,ชุมชนกู่จาน เป็นย่านชุมชนเก่าในพื้นที่ชนบทและเกษตรกรรม ซึ่งมีรูปแบบส่วนใหญ่เป็นที่พักอาศัยแบบครอบครัวเกษตรกรรม โดยมีการตั้งถิ่นฐานโดยรอบพื้นที่โบราณสถาน เป็นชุมชนกึ่งเมืองกึ่งชนบท ที่ระบบการผลิตยังขึ้นอยู่กับเกษตรกรรมเป็นหลัก มีการจัดตั้งกลุ่มการผลิตของชุมชนคือ กลุ่มงานช่างฝีมือทำเกวียนและจักรสานไม่ไผ่ เป็นย่านชุมชนเก่าที่ซ้อนทับแหล่งโบราณสถานโดย เป็นปูชนียสถานศักดิ์สิทธิ์ เป็นที่สักการะของชาวเมืองยโสธร องค์พระธาตุกู่จานกว้างประมาณ 5.10 เมตร สูง 15 เมตร
547,ชุมชนบ้านศรีฐาน,ศรีฐาน,ป่าติ้ว,ยโสธร,ตะวันออกเฉียงเหนือ,428918.4182,1744430.386,ชุมชนบ้านศรีฐาน เป็นเป็นชุมชนเก่าตั้งอยู่บนพื้นที่ราบ พื้นที่โดยรอบเป็นพื้นที่เกษตรกรรม ได้แก่ นาข้าว เป็นชุมชนพักอาศัยแบบชนบท ประชากรในชุมชนส่วนใหญ่ประกอบอาชีพด้านเกษตรกรรมเป็นหลัก ได้แก่ การทำนา รองลงมาเป็นรับจ้าง และรับราชการ ภายในชุมชนมีการรวมกลุ่มทำหมอนขิดเพื่อส่งขายยังภายนอกชุมชน ลักษณะสังคมภายในชุมชนยังคงเป็นลักษณะของวิถีชีวิตและวัฒนธรรมแบบชนบทที่มีความเกี่ยวข้องกับการเกษตร และพื้นที่ทางความเชื่อท้องถิ่น เช่น ดอนปู่ตา เป็นชุมชนเก่าที่มีการการประกอบอาชีพหัตถกรรมการทำหมอนขิด มายาวนาน ซึ่งปัจจุบันได้มีการขยายตัวและรวมกลุ่มกันเป็นกลุ่มอาชีพการทำหมอนขิดขึ้น จนกลายเป็นสินค้า OTOP ที่สำคัญของตำบลศรีฐาน
548,ชุมชนเมืองเก่า,ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,356037.7732,1775763.174,ชุมชนเมืองเก่า เป็นชุมชนที่อยู่รายรอบคูเมืองโบราณ และเป็นย่านพาณิชยกรรมเก่า ประกอบด้วยอาคารพาณิชยกรรมลักษณะอาคารไม้ บึงกลางเมือง (บึงพลาญชัย ร้อยเอ็ด) เป็นย่านพาณิชยกรรมการค้าเก่าของชุมชนเมืองร้อยเอ็ด เรื่อยมาตั้งแต่อดีตจนถึงปัจจุบัน เป็นชุมชนการค้าขายและที่พักอาศัยของพ่อค้าเชื้อสายจีนในอดีต ปัจจุบันเริ่มมีผสมผสานของผู้ที่ทำการค้าขายและพักอาศัยทั้งคนเชื้อสายจีน ไทย และเชื้อสายอินเดีย ตามลำดับ มีอาคารพาณิชยกรรมเก่า เป็นลักษณะอาคารไม้ ตึกดิน ความสูง 1 ชั้น และ 2 ชั้น ที่มีความโดดเด่นของรูปแบบและองค์ประกอบทางสถาปัตยกรรมเฉพาะ เช่น บานประตู ลูกกรงราวระเบียง ลายฉลุบริเวณกันสาดระเบียง และช่องระบายอากาศเหนือบานประตู
549,ชุมชนสีแก้ว,สีแก้ว,เมืองร้อยเอ็ด,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,344073.3154,1785126.721,ชุมชนสีแก้ว เป็นย่านชุมชนเก่าที่มีความทรงจำ/เหตุการณ์สำคัญในอดีต/ตำนาน และเป็นชุมชนเกษตรกรรม เป็นชุมชนเกษตรกรรม ผู้คนในชุมชนประกอบอาชีพ เกษตรกรรม ซึ่งวิถีชีวิตเป็นแบบวัฒนธรรมอีสาน (ลาวล้านช้าง) สภาพภูมิสัณฐานและภูมิทัศน์ของชุมชน และวัดบ้านเมืองสีแก้ว
550,ชุมชนเมืองบัว,เมืองบัว,เกษตรวิสัย,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,350009.3421,1725881.68,ชุมชนเมืองบัว เป็นชุมชนโบราณที่มีคูน้ำคันดินล้อมรอบมีขนาดประมาณ 800 x 1000 เมตรมีรูปร่างค่อนข้างรี ภายในเมืองเป็นเนินดินรูปลูกระนาด มีเนินขนาดใหญ่สูงประมาณ 7-10 เมตร จากพื้นที่โดยรอบอยู่ เป็นชุมชนเกษตรกรรม เป็นชุมชนที่มีอาชีพหลักในการทำเกษตรกรรม ปรางค์กู่เมืองบัว (พุทธศตวรรษที่ 18) เป็นศิลปะสมัยขอมตั้งอยู่ที่ดอนกู่ทิศเหนือและทิศใต้ ล้อมรอบด้วยสระน้ำ เป็นที่เคารพบูชาของชาวบ้าน อุโบสถที่เก่าแก่ 230-260 ปี ที่วัดปทุมคงคา
551,ชุมชนบ้านเมืองไพร,เมืองไพร,เสลภูมิ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,390389.1349,1771683.343,ชุมชนบ้านเมืองไพร เป็นย่านชุมชนเก่าที่มีความทรงจำ/เหตุการณ์สำคัญในอดีต/ตำนาน และเป็นชุมชนเกษตรกรรม เป็นชุมชนเกษตรกรรม ผู้คนในชุมชนประกอบอาชีพ เกษตรกรรม ซึ่งวิถีชีวิตเป็นแบบวัฒนธรรมอีสาน (ลาวล้านช้าง) ดอนปู่ตา บ้านเมืองไพร ตำบลเมืองไพร
552,ชุมชนเมืองเก่า,ขวัญเมือง,เสลภูมิ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,386053.6269,1772674.5,ชุมชนเมืองเก่า เป็นย่านพาณิชยกรรมเก่า ประกอบด้วยอาคารพาณิชยกรรมลักษณะอาคารไม้ เป็นย่านพาณิชกรรมการค้าเก่าของอำเภอเสลภูมิ เรื่อยมาตั้งแต่อดีตจนถึงปัจจุบัน เป็นชุมชนการค้าขายและที่พักอาศัยของพ่อค้าเชื้อสายจีนในอดีต ปัจจุบันเริ่มมีผสมผสานของผู้ที่ทำการค้าขายและพักอาศัย มีอาคารพาณิชยกรรมเก่าอายุกว่า 60 ปี ในลักษณะอาคารไม้ความสูง 1 ชั้น และ 2 ชั้น ที่มีความโดดเด่นของรูปแบบและองค์ประกอบทางสถาปัตยกรรมเฉพาะ เช่น บานประตู ลูกกรงราวระเบียง และช่องระบายอากาศเหนือบานประตู
553,ชุมชนท่าม่วง,ท่าม่วง,เสลภูมิ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,379429.1724,1781868.574,ชุมชนท่าม่วง เป็นชุมชนที่ตั้งอยู่ริมลำน้ำชี ตั้งอยู่บนที่ดอน พื้นที่โดยรอบชุมชนเป็นพื้นที่เกษตรกรรม ได้แก่ นาข้าวและประมง เป็นชุมชนที่พักอาศัยและเกษตรกรรมในบริเวณโดยรอบ เป็นชุมชนเกษตรกรรม ที่พักอาศัย และการค้าขาย เป็นชุมชนกลุ่มชาติพันธุ์ที่มีความโดดเด่นเรื่องภาษา และวัฒนธรรม วัดบ้านท่าม่วง/สอนอักษรธรรม (อักษรไทยน้อย)
554,ชุมชนบ้านสังข์,ทุ่งกุลา,สุวรรณภูมิ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,371156.3106,1710998.568,ชุมชนบ้านสังข์ เป็นชุมชนที่มีแหล่งน้ำธรรมชาติ หลายสาย ที่เหมาะแก่การทำเกษตรกรรม เป็นชุมชนเกษตรกรรม และหัตถกรรม เป็นชุมชนเกษตรกรรม ที่พักอาศัย และการค้าขาย ภายในชุมชนมีวัดบ้านสังข์ใหญ่วราราม
555,ชุมชนบ้านน้ำคำ,สระคู,สุวรรณภูมิ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,375177.6037,1739946.263,ชุมชนบ้านน้ำคำ เป็นชุมชนที่ตั้งอยู่โดยรอบของโบราณสถาน มีสภาพภูมิประเทศที่เป็นที่ดอน มีคูเมืองล้อมรอบ พื้นที่โดยรอบชุมชนเป็นพื้นที่เกษตรกรรม ได้แก่ นาข้าว เป็นชุมชนเกษตรกรรม และหัตถกรรม ประชากรในชุมชนประกอบอาชีพด้านเกษตรกรรมเป็นหลัก รองลงมาเป็นรับจ้าง และค้าขาย ลักษณะสังคมภายในชุมชนยังคงเป็นไปในลักษณะของวิถีชีวิตและวัฒนธรรมแบบชนบท สภาพภูมิสัณฐานและภูมิทัศน์ของชุมชน เป็นชุมชนชนบท
556,ชุมชนบ้านสังข์,สีแก้ว,จังหาร,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,342839.5468,1785936.069,ชุมชนบ้านสังข์ เป็นชุมชนที่มีแหล่งน้ำธรรมชาติหลายสายที่เหมาะแก่การทำเกษตรกรรม เป็นชุมชนเกษตรกรรม หัตถกรรม ที่พักอาศัย และการค้าขาย ภายในชุมชนมีวัดศรีรัตน และวัดบ้านคานหัก
557,ชุมชนธวัชดินแดง,ธวัชบุรี,ธวัชบุรี,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,376480.4529,1781506.301,ชุมชนธวัชดินแดง เป็นชุมชนที่มีแหล่งน้ำธรรมชาติ หลายสาย ที่เหมาะแก่การทำเกษตรกรรม เป็นชุมชนเกษตรกรรม และหัตถกรรม เป็นชุมชนเกษตรกรรม และหัตถกรรมจักสานไม้ไผ่ลายผ้าขิด ผลิตภัณฑ์ได้แก่ กระเตาะ กระติ๊บ กระเป๋า และภาชนะต่าง ๆ ภายในชุมชนมีวัดจันทราราม และวัดสันติวิหาร
558,ชุมชนฟืม (บ้านเขือง),เชียงขวัญ,เชียงขวัญ,ร้อยเอ็ด,ตะวันออกเฉียงเหนือ,362743.5973,1787107.869,ชุมชนฟืม (บ้านเขือง) เป็นชุมชนที่มีแหล่งน้ำธรรมชาติ หลายสาย ที่เหมาะแก่การทำเกษตรกรรม เป็นชุมชนเกษตรกรรม และหัตถกรรม เป็นชุมชนเกษตรกรรม และหัตถกรรมจักสานไม้ไผ่ลายผ้าขิด ผลิตภัณฑ์ได้แก่ กระเตาะ กระติ๊บ กระเป๋า และภาชนะต่าง ๆ เป็นชุมชนกลุ่มชาติพันธุ์ที่มีความโดดเด่นเรื่องภาษา และการทำหัตถกรรมจักสานไม้ไผ่
559,ชุมชนบ้านนาอ้อ,นาอ้อ,เมืองเลย,เลย,ตะวันออกเฉียงเหนือ,153005.8528,1946772.532,ชุมชนบ้านนาอ้อ เป็นชุมชนชนบทที่มีนาข้าว ป่า และภูเขา ล้อมรอบพื้นที่ ซึ่งเป็นแหล่งต้นน้ำและลำห้วยหลายสายไหลผ่านหมู่บ้าน ชุมชนพักอาศัยแบบชนบท ประชาชนในชุมชนส่วนใหญ่ประกอบอาชีพทางด้านการเกษตรเป็นหลัก ได้แก่ การทำนา รองลงมา คือ อาชีพรับจ้างและรับราชการ โดยในชุมชนมีการทำหัตถกรรมเครื่องจักสานเป็นอาชีพเสริม เพื่อเพิ่มรายได้ให้กับครอบครัว ลักษณะสังคมภายในชุมชนยังคงมีวิถีชีวิตแบบชนบทที่มีความเกี่ยวข้องกับอาชีพเกษตรกรรมและสิ่งศักดิ์สิทธิ์ในชุมชน เป็นชุมชนกลุ่มชาติพันธุ์ผู้ไทย ที่มีอัตลักษณ์โดดเด่นเรื่องวัฒนธรรม มีขนบธรรมเนียม ประเพณี และวิถีชีวิตแสดงถึงความเป็นผู้ไทที่โดดเด่น
560,ชุมชนตลาด,ด่านซ้าย,ด่านซ้าย,เลย,ตะวันออกเฉียงเหนือ,90127.94134,1914596.267,ชุมชนตลาด เป็นย่านพาณิชยกรรมเก่า ประกอบด้วยอาคารพาณิชยกรรมลักษณะอาคารไม้ริม 2 ฝั่งถนน เป็นย่านพาณิชกรรมการค้าเก่าของชุมชนตำบลด่านซ้าย เรื่อยมาตั้งแต่อดีตจนถึงปัจจุบัน เป็นชุมชนการค้าขายและที่พักอาศัยของพ่อค้าเชื้อสายลาว-เวียด มีอาคารพาณิชยกรรมเก่า เป็นลักษณะอาคารไม้ ตึกดิน ความสูง 1 ชั้น และ 2 ชั้น ที่มีความโดดเด่นของรูปแบบและองค์ประกอบทางสถาปัตยกรรมเฉพาะ เช่น บานประตู ลูกกรงราวระเบียง ลายฉลุบริเวณกันสาดระเบียง และช่องระบายอากาศเหนือบานประตู
561,ชุมชนปากชม,ปากชม,ปากชม,เลย,ตะวันออกเฉียงเหนือ,169016.8052,1995661.595,ชุมชนปากชม เป็นชุมชนชนบท ตั้งอยู่บนที่ราบริมแม่น้ำโขง ต่อมาได้มีการขยายตัวของชุมชนออกจากพื้นที่ริมแม่น้ำโขง อันเนื่องมาจากการพัฒนาเส้นทางการคมนาคมทางบก ชุมชนพักอาศัยแบบชนบท ประชาชนในชุมชนส่วนใหญ่ประกอบอาชีพทางด้านการเกษตรเป็นหลัก ได้แก่ การทำนา และอาชีพรับจ้าง ลักษณะสังคมภายในชุมชนยังคงมีวิถีชีวิตแบบชนบทที่มีความเกี่ยวข้องกับอาชีพเกษตรกรรม แม่น้ำโขง และสิ่งศักดิ์สิทธิ์ในชุมชน เป็นชุมชนกลุ่มชาติพันธุ์ผู้ไทย ที่มีอัตลักษณ์โดดเด่นเรื่องวัฒนธรรม ขนบธรรมเนียม ประเพณี และวิถีชีวิตแสดงถึงความเป็นผู้ไทยที่โดดเด่น อาทิ การแต่งกายชุดผู้ไทย และภาษาพูด มีลักษณะอาคารภายในชุมชน เดิมเป็นอาคารไม้ 2 ชั้น ใต้ถุนโล่ง ที่มีเอกลักษณ์แบบเรือนผู้ไท
562,ชุมชนเก่าเชียงคาน,เชียงคาน,เชียงคาน,เลย,ตะวันออกเฉียงเหนือ,146196.2134,1981908.794,ชุมชนเก่าเชียงคาน เป็นชุมชนเก่าตั้งอยู่บนที่ราบ ทอดตัวยาวริมแม่น้ำโขง เป็นย่านพักอาศัย การค้าและพาณิชยกรรมเก่าของเมืองเชียงคาน แต่เดิมชุมชนเก่าเชียงคาน มีบทบาทเป็นการค้าและพาณิชยกรรมหลักของเมืองเชียงคาน แต่ปัจจุบันได้ลดบทบาทการเป็นย่านการค้าลง เนื่องจากถนนเดิมมีความคับแคบ และการขยายตัวของเมืองออกไปตามเส้นทางคมนาคม เกิดเป็นย่านพาณิชยกรรมใหม่ริมถนนสายหลัก ที่มีความสะดวกในการใช้งาน ระบบเศรษฐกิจในชุมชนปัจจุบันจึงพึ่งพากับการท่องเที่ยวเป็นหลัก ลักษณะทางสังคมยังคงมีวิถีชีวิตและวัฒนธรรมที่เกี่ยวข้องกับศาสนาพุทธ และแม่น้ำโขง โดยเห็นได้จากการแบ่งชุมชนเป็นคุ้มวัด ประชาชนในชุมชนเก่าเชียงคานส่วนใหญ่เป็นคนไทย รองลงมาเป็นคนไทยเชื้อสายจีน มีอาคารพาณิชยกรรมเก่า ลักษณะห้องแถวไม้ และคอนกรีตผสมไม้ ที่มีลักษณะเด่นด้านเทคนิคการก่อสร้างและองค์ประกอบสถาปัตยกรรม เช่น ผนังอาคารทำจากไม้ไผ่สานสอปูนเปลือกหอย ลูกกรงราวระเบียง บานประตู-หน้าต่าง และช่องระบายอากาศเหนือประตู-หน้าต่าง เป็นต้น
